Strand	Start	End
+ 105 677
+ 3395 5188
+ 8427 9197
+ 9202 10206
+ 10203 10577
+ 10581 11420
+ 11421 12161
+ 12154 12753
+ 12746 14728
+ 15845 16804
+ 22819 23958
+ 25753 26391
+ 26399 27448
+ 29543 31015
+ 31027 31479
+ 39826 40677
+ 45446 45991
+ 46530 46601
+ 47167 47841
+ 47917 48606
+ 49341 50012
+ 57259 57975
+ 63147 64028
+ 64038 65276
+ 65291 65752
+ 65768 67240
+ 67248 69569
+ 69566 70126
+ 70142 71219
+ 71201 72610
+ 72647 73492
+ 73489 74517
+ 74518 75772
+ 75774 76454
+ 76448 77701
+ 79505 80773
+ 80983 81408
+ 81405 82940
+ 98817 100205
+ 100228 100749
+ 108307 109671
+ 114807 115508
+ 131298 132425
+ 133975 135864
+ 144307 144597
+ 150974 152179
+ 152206 153012
+ 156462 157598
+ 157627 158061
+ 158058 158474
+ 158628 159344
+ 159368 160042
+ 160090 161208
+ 162878 163045
+ 169539 170708
+ 171251 171484
+ 182886 183380
+ 183392 185275
+ 185278 186552
+ 186554 186946
+ 186949 187194
+ 190064 190717
+ 190719 191459
+ 193800 194873
+ 194876 195736
+ 195693 197696
+ 197686 199950
+ 202693 202765
+ 202850 204088
+ 204137 205072
+ 205073 206044
+ 206333 206405
+ 206428 206500
+ 206529 208106
+ 208706 209542
+ 209529 211274
+ 211301 212068
+ 212061 215420
+ 215427 217259
+ 217278 218312
+ 218340 218413
+ 219800 220639
+ 220729 221637
+ 221634 223178
+ 223179 223961
+ 229217 230224
+ 231621 232322
+ 232338 235253
+ 242438 244003
+ 245790 246554
+ 246597 248102
+ 248527 250089
+ 252434 253039
+ 253159 254931
+ 254945 255649
+ 255655 256260
+ 256281 256364
+ 256463 258985
+ 259000 261303
+ 263988 266114
+ 266107 267051
+ 267066 267275
+ 273854 275236
+ 276558 277064
+ 320309 321352
+ 321352 322038
+ 328032 329165
+ 329262 329621
+ 334937 336508
+ 336629 338215
+ 338358 339983
+ 340341 341261
+ 341274 342323
+ 342335 343207
+ 343208 344179
+ 345063 346364
+ 355491 356909
+ 357007 358440
+ 358458 359198
+ 361188 362321
+ 368456 368881
+ 368885 370027
+ 370027 371013
+ 371034 373046
+ 373140 373520
+ 374277 375653
+ 375661 375939
+ 384287 385426
+ 385449 386162
+ 386159 387337
+ 387334 387807
+ 410832 411446
+ 413113 414315
+ 416689 417105
+ 417102 417713
+ 417724 418335
+ 421554 422183
+ 422180 423058
+ 423055 423834
+ 424694 425551
+ 425584 426711
+ 426736 427950
+ 427987 428622
+ 428646 429674
+ 443623 443696
+ 447855 448172
+ 448705 449310
+ 449419 450171
+ 450174 450887
+ 456576 458036
+ 458277 459434
+ 459525 459824
+ 459916 460071
+ 460052 460411
+ 460398 462032
+ 462045 462773
+ 462819 463886
+ 464053 465132
+ 472566 473408
+ 474613 475602
+ 475606 476211
+ 478196 479716
+ 479709 481019
+ 481083 481171
+ 481228 481314
+ 482132 482205
+ 482222 482308
+ 482312 482408
+ 482600 484282
+ 484287 484586
+ 484757 485266
+ 485550 486077
+ 486074 486769
+ 486747 487538
+ 487535 488224
+ 488226 488972
+ 488983 489495
+ 489540 489719
+ 489733 490554
+ 490644 491927
+ 492588 493952
+ 495033 496217
+ 496268 496579
+ 496615 497235
+ 497245 497874
+ 497895 498191
+ 498213 499046
+ 499056 499334
+ 499341 499703
+ 499707 500588
+ 500593 501009
+ 501012 501212
+ 501215 501469
+ 501497 501865
+ 501880 502185
+ 502191 502739
+ 502756 502941
+ 502951 503349
+ 503366 503908
+ 503926 504285
+ 504298 504795
+ 504799 505104
+ 505104 505541
+ 505554 506858
+ 506871 506984
+ 507002 507379
+ 507406 507798
+ 507814 508848
+ 508870 509241
+ 509314 510846
+ 510836 511624
+ 511605 512396
+ 513226 514527
+ 514524 515783
+ 515780 516473
+ 516493 522993
+ 523005 524576
+ 524554 526254
+ 526325 527305
+ 532069 533606
+ 534301 535155
+ 535704 537527
+ 537520 538308
+ 542263 543024
+ 543049 543816
+ 543832 544605
+ 544586 547387
+ 552022 552250
+ 552491 553018
+ 553139 553789
+ 553992 555212
+ 555216 556580
+ 562185 564167
+ 565955 567823
+ 567810 568277
+ 568270 569139
+ 569278 569538
+ 569559 571280
